institution,category_type,total_votes,dissent_votes,for_votes,against_votes,abstain_votes,dissent_rate_pct,pct_for,pct_against
BlackRock,SECTION 14A SAY-ON-PAY VOTES,3758,2,3199,559,0,0.05,85.13,14.87
StateStreet,AUDIT-RELATED,4910,6,4792,118,0,0.12,97.6,2.4
StateStreet,CAPITAL STRUCTURE,13911,47,12072,1839,0,0.34,86.78,13.22
StateStreet,COMPENSATION,11149,151,9430,1678,41,1.35,84.58,15.05
StateStreet,CORPORATE GOVERNANCE,19813,351,17788,2025,0,1.77,89.78,10.22
StateStreet,DIRECTOR ELECTIONS,35617,520,31830,3482,79,1.46,89.37,9.78
StateStreet,"DIVERSITY, EQUITY, AND INCLUSION",43,35,11,32,0,81.4,25.58,74.42
StateStreet,ENVIRONMENT OR CLIMATE,293,268,30,263,0,91.47,10.24,89.76
StateStreet,EXTRAORDINARY TRANSACTIONS,1529,0,1441,88,0,0.0,94.24,5.76
StateStreet,HUMAN RIGHTS OR HUMAN CAPITAL/WORKFORCE,47,47,3,44,0,100.0,6.38,93.62
StateStreet,INVESTMENT COMPANY MATTERS,6,0,6,0,0,0.0,100.0,0.0
StateStreet,OTHER,246,0,233,13,0,0.0,94.72,5.28
StateStreet,OTHER SOCIAL ISSUES,405,99,258,145,2,24.44,63.7,35.8
StateStreet,SECTION 14A SAY-ON-PAY VOTES,595,0,576,19,0,0.0,96.81,3.19
StateStreet,SHAREHOLDER RIGHTS AND DEFENSES,179,11,133,46,0,6.15,74.3,25.7
Vanguard,AUDIT-RELATED,3226,0,3223,3,0,0.0,99.91,0.09
Vanguard,CAPITAL STRUCTURE,984,4,899,84,1,0.41,91.36,8.54
Vanguard,COMPENSATION,1178,9,951,227,0,0.76,80.73,19.27
Vanguard,CORPORATE GOVERNANCE,1021,53,867,154,0,5.19,84.92,15.08
Vanguard,DIRECTOR ELECTIONS,18014,653,17258,115,1,3.62,95.8,0.64
Vanguard,"DIVERSITY, EQUITY, AND INCLUSION",3,3,0,3,0,100.0,0.0,100.0
Vanguard,ENVIRONMENT OR CLIMATE,17,17,0,17,0,100.0,0.0,100.0
Vanguard,EXTRAORDINARY TRANSACTIONS,260,4,239,21,0,1.54,91.92,8.08
Vanguard,HUMAN RIGHTS OR HUMAN CAPITAL/WORKFORCE,5,5,0,5,0,100.0,0.0,100.0
Vanguard,INVESTMENT COMPANY MATTERS,2,0,2,0,0,0.0,100.0,0.0
Vanguard,OTHER,5,0,5,0,0,0.0,100.0,0.0
Vanguard,OTHER SOCIAL ISSUES,9,9,0,9,0,100.0,0.0,100.0
Vanguard,SECTION 14A SAY-ON-PAY VOTES,2629,0,2558,71,0,0.0,97.3,2.7
Vanguard,SHAREHOLDER RIGHTS AND DEFENSES,94,4,88,6,0,4.26,93.62,6.38
